Industry,Amount
Innovation Management,1000000000.0
Home services,250000000.0
Cloud kitchen,175000000.0
E-market,168000000.0
Social media,153000000.0
D2C Business,150000000.0
Crypto,130750000.0
Health and Fitness,115000000.0
Finance,101296400.0
Automotive and Rentals,101250000.0
Fashion & Lifestyle,100000000.0
BioTechnology,100000000.0
B2B Ecommerce,92500000.0
D2C,85500000.0
Finance company,80000000.0
Automotive,79964705.88235295
Software Startup,77500000.0
"Manchester, Greater Manchester",75000000.0
Banking,65000000.0
Construction,56937500.0
Co-living,56000000.0
B2B E-commerce,51000000.0
SaaS platform,50300000.0
Recruitment,50100000.0
Clothing,50000000.0
SaaS,48611111.11111111
Computer software,47110000.0
Insurance,45491666.666666664
E-tail,43700000.0
Car Trade,42500000.0
Delivery service,40000000.0
Logistics,39797636.36363637
Interior Design,38000000.0
HealthTech,36488461.538461536
Social network,32000000.0
Automation,30270000.0
Social Media,30000000.0
B2B,30000000.0
B2B startup,30000000.0
Transport & Rentals,30000000.0
Customer service company,30000000.0
Logistics & Supply Chain,29751818.181818184
Entertainment,28738400.0
Edtech,28428751.666666668
EdtTech,28000000.0
Foodtech,27887883.333333332
Food tech,26500000.0
Community platform,26000000.0
Hospital & Health Care,25662500.0
Marketplace,25500000.0
Software Company,25000000.0
Dairy startup,25000000.0
InsureTech,25000000.0
Financial Services,24350000.0
Human Resources,24066666.666666668
Social commerce,23950000.0
Information Technology & Services,23866666.666666668
FinTech,23638571.42857143
Service industry,23000000.0
OTT,22000000.0
Retail,21437500.0
"Health, Wellness & Fitness",20590000.0
Agriculture,20000000.0
Telecommunications,20000000.0
Beauty products,20000000.0
Beverage,20000000.0
Pet care,19800000.0
Food and Beverages,19650000.0
Automobiles,19500000.0
SaaS startup,18681250.0
Food & Beverages,18171666.666666668
CleanTech,18000000.0
E-commerce,17786285.714285713
Healthtech,17758933.333333332
E-learning,17196176.470588237
AI startup,16691666.666666666
AgriTech,16628000.0
Tech Startup,15437500.0
Mobility,15180000.0
Video,15000000.0
Transportation,15000000.0
Cryptocurrency,15000000.0
Automobile Technology,14700000.0
EdTech,14465616.438356165
Fintech,13417636.363636363
Tech,12952250.0
Health,12750000.0
Computer Software,11550000.0
Manufacturing,11370000.0
Automobile,11241000.0
Industrial Automation,10500000.0
Insuretech,10500000.0
Consumer Services,10240000.0
Furniture,10100000.0
B2B Agritech,10000000.0
Tech platform,10000000.0
Farming,10000000.0
Product studio,10000000.0
Tech startup,9466666.666666666
Gaming,9304166.666666666
Logitech,9000000.0
Consumer appliances,9000000.0
Home Design,9000000.0
Healthcare,8615333.333333334
Technology,8500000.0
Food Industry,8500000.0
Jewellery,8090000.0
Professional Training & Coaching,8000000.0
Job portal,8000000.0
Home interior services,8000000.0
AI Platform,8000000.0
Software company,7600000.0
Agritech,7554833.333333333
AI Chatbot,7500000.0
Retail Tech,7500000.0
Social e-commerce,7500000.0
Cosmetics,7414285.714285715
IT,7403333.333333333
Renewable Energy,7166666.666666667
AR platform,7000000.0
Electricity,7000000.0
Investment Management,7000000.0
Computer & Network Security,7000000.0
Renewables & Environment,7000000.0
Capital Markets,6600000.0
SpaceTech,6450000.0
Education Management,6333333.333333333
Real Estate,6120000.0
AI Company,6000000.0
Heathcare,6000000.0
Femtech,6000000.0
"Supply chain, Agritech",5900000.0
HealthCare,5730000.0
Information Services,5700000.0
Consulting,5650000.0
Veterinary,5500000.0
IoT startup,5100000.0
Agritech startup,5060000.0
Solar SaaS,5000000.0
FM,5000000.0
AI company,5000000.0
Tech company,4750000.0
Consumer Goods,4363333.333333333
Transport,4304675.0
Content marketplace,4200000.0
Blogging,4100000.0
API platform,4050000.0
Video personalization,4000000.0
Analytics,4000000.0
Spiritual,4000000.0
Marketing & Advertising,4000000.0
Data Analytics,4000000.0
Fishery,4000000.0
Hospitality,3981111.111111111
Apparel & Fashion,3866666.6666666665
Biotechnology,3550000.0
Content management,3500000.0
Wholesale,3500000.0
Online Media,3350000.0
Mobility/Transport,3300000.0
EV,3000000.0
Education,3000000.0
Video communication,3000000.0
Equity Management,3000000.0
HeathTech,3000000.0
Matrimony,3000000.0
Staffing & Recruiting,3000000.0
Supply chain platform,3000000.0
Social audio,3000000.0
Aviation,3000000.0
Cleantech,3000000.0
Media,2916666.6666666665
Personal care startup,2900000.0
Ecommerce,2865500.0
Healthcare/Edtech,2800000.0
B2B Manufacturing,2600000.0
IT startup,2533333.3333333335
Deeptech,2420000.0
EV startup,2300000.0
Food & Logistics,2300000.0
Solar,2200000.0
B2B Travel,2200000.0
EdTech Startup,2137500.0
PaaS startup,2000000.0
NFT,2000000.0
Eyewear,2000000.0
Trading platform,2000000.0
E-connect,2000000.0
Design,2000000.0
Ayurveda tech,2000000.0
Advertisement,1800000.0
Aeorspace,1800000.0
Software,1800000.0
Information Technology,1788000.0
HR Tech,1670000.0
Blockchain,1600000.0
Food,1600000.0
Water purification,1600000.0
Maritime,1600000.0
Fitness startup,1550000.0
AI,1516000.0
HR Tech startup,1500000.0
Proptech,1500000.0
Management Consulting,1500000.0
Manufacturing startup,1500000.0
Digital Media,1500000.0
Health care,1500000.0
Conversational AI platform,1500000.0
Food & Bevarages,1466666.6666666667
Biomaterial startup,1400000.0
Publication,1400000.0
Blockchain startup,1350000.0
Music,1250000.0
Food Production,1250000.0
SportsTech,1250000.0
sports,1200000.0
Data Intelligence,1200000.0
Internet,1200000.0
Mobile Games,1100000.0
Foootwear,1100000.0
Insurance Tech,1050000.0
Fashion,1020000.0
Dating,1005000.0
Vehicle repair startup,1000000.0
MarTech,1000000.0
MLOps platform,1000000.0
Crowdsourcing,1000000.0
Content publishing,1000000.0
Interior design,1000000.0
Drone,1000000.0
Defense tech,1000000.0
LegalTech,1000000.0
Commerce,1000000.0
FMCG,1000000.0
Tourism,1000000.0
AR/VR startup,1000000.0
Gaming startup,1000000.0
Sales and Distribution,1000000.0
Celebrity Engagement,1000000.0
Co-working Startup,1000000.0
Soil-Tech,1000000.0
Recruitment startup,1000000.0
Skill development,1000000.0
Cloud Kitchen,1000000.0
Deep Tech,950000.0
WL & RAC protection,900000.0
Investment,887000.0
Medtech,850000.0
Rental,850000.0
Community,810000.0
Social platform,800000.0
AR startup,800000.0
Fitness,733333.3333333334
Marketing company,700000.0
Networking,620000.0
Translation & Localization,600000.0
Biotechnology company,600000.0
Textiles,570000.0
Preschool Daycare,507000.0
Agri tech,500000.0
Electronics,500000.0
Innovation management,500000.0
Aviation & Aerospace,500000.0
Co-working,500000.0
Fashion Tech,467000.0
Hauz Khas,461000.0
Retail startup,450000.0
Helathcare,400000.0
Sports startup,400000.0
Dairy,400000.0
Higher Education,400000.0
IoT,374000.0
Real estate,350000.0
Content Marktplace,306900.0
Business Supplies & Equipment,300000.0
Merchandise,300000.0
Healtcare,300000.0
B2B service,300000.0
TaaS startup,250000.0
Fertility tech,200000.0
Cannabis startup,200000.0
Marketing,200000.0
Job discovery platform,140000.0
Dating app,110000.0
FoodTech,100000.0
Interior & decor,100000.0
Milk startup,100000.0
Oil & Energy,100000.0
Advisory firm,
Arts & Crafts,
Battery,
Computer Games,
Consumer goods,
Content commerce,
D2C Fashion,
Environmental service,
Fashion and lifestyle,
IT company,
NFT Marketplace,
Rental space,
